method,class,lead,lead_index,mean_abs_attribution,ci95_low,ci95_high,rank_within_class,n_records
GradientSHAP,VE,I,0,0.0008911771583370864,0.0008140829158946872,0.0009691762970760465,5,14
GradientSHAP,VE,II,1,0.0008178143762052059,0.0007317703566513956,0.0009082293254323304,12,14
GradientSHAP,VE,III,2,0.0008326056995429099,0.0007730993092991412,0.000891850155312568,10,14
GradientSHAP,VE,aVR,3,0.0008973732474260032,0.0008218048023991287,0.0009691491723060608,4,14
GradientSHAP,VE,aVL,4,0.0008831632439978421,0.0008152051013894379,0.0009478675201535225,6,14
GradientSHAP,VE,aVF,5,0.0008462915429845452,0.0007768652867525816,0.0009188715484924614,8,14
GradientSHAP,VE,V1,6,0.0009646164253354073,0.0008684510248713195,0.0010874735889956355,2,14
GradientSHAP,VE,V2,7,0.0008279775502160192,0.000770640792325139,0.000880657637026161,11,14
GradientSHAP,VE,V3,8,0.000949408917222172,0.0008627827046439052,0.0010329043725505471,3,14
GradientSHAP,VE,V4,9,0.0009689638973213732,0.0008583265589550138,0.001073623076081276,1,14
GradientSHAP,VE,V5,10,0.0008830119040794671,0.0007824068306945264,0.0009873236995190382,7,14
GradientSHAP,VE,V6,11,0.0008338195621035993,0.0007389234961010516,0.0009229617426171899,9,14
