method,class,lead,lead_index,mean_abs_attribution,ci95_low,ci95_high,rank_within_class,n_records
IntegratedGradients,AFIB,V3,8,0.0021192850545048714,0.0019427724182605743,0.002304420806467533,8,39
IntegratedGradients,AFIB,V4,9,0.001999169122427702,0.0018217567121610045,0.0021730558946728706,11,39
IntegratedGradients,AFIB,V5,10,0.001969731179997325,0.0018285975093021989,0.0021095317788422108,12,39
IntegratedGradients,AFIB,V6,11,0.002099954290315509,0.001936230924911797,0.002248273929581046,9,39
IntegratedGradients,SB,I,0,0.002108772285282612,0.0019392832182347775,0.002281373832374811,1,45
IntegratedGradients,SB,II,1,0.0019675784278661013,0.0018095291452482343,0.0021344362758100033,2,45
IntegratedGradients,SB,III,2,0.0017411905573680997,0.0015313720796257257,0.0019893404096364975,9,45
IntegratedGradients,SB,aVR,3,0.0019655406940728426,0.0018138684099540114,0.0021301559172570705,3,45
IntegratedGradients,SB,aVL,4,0.0019248129101470113,0.001722420915029943,0.00214556441642344,6,45
IntegratedGradients,SB,aVF,5,0.001936521497555077,0.001740514300763607,0.002154672984033823,4,45
IntegratedGradients,SB,V1,6,0.0016357344575226307,0.0014462228864431381,0.0018597400048747659,12,45
IntegratedGradients,SB,V2,7,0.0018111311364918947,0.0016273409128189087,0.0020184870809316635,8,45
IntegratedGradients,SB,V3,8,0.001925497897900641,0.0017474503256380558,0.0021044679451733828,5,45
IntegratedGradients,SB,V4,9,0.0016502278158441186,0.0015110812382772565,0.0017905719578266144,11,45
IntegratedGradients,SB,V5,10,0.0017130232881754637,0.0015845912275835872,0.0018520478624850512,10,45
IntegratedGradients,SB,V6,11,0.0018965820781886578,0.0017381110228598118,0.002076044213026762,7,45
IntegratedGradients,ST,I,0,0.0020370420534163713,0.0018669895362108946,0.002214170526713133,1,41
IntegratedGradients,ST,II,1,0.0019033191492781043,0.0017313624266535044,0.0020847232080996037,6,41
IntegratedGradients,ST,III,2,0.0020123268477618694,0.001782738952897489,0.002246106043457985,3,41
IntegratedGradients,ST,aVR,3,0.0018607189413160086,0.0017180991126224399,0.002019661944359541,7,41
IntegratedGradients,ST,aVL,4,0.00203327857889235,0.0018047378398478031,0.002254313789308071,2,41
IntegratedGradients,ST,aVF,5,0.0019160783849656582,0.001726982300169766,0.0021179993636906147,4,41
IntegratedGradients,ST,V1,6,0.0019133506575599313,0.0016990661388263106,0.0021412314381450415,5,41
IntegratedGradients,ST,V2,7,0.0018492208328098059,0.0017175922403112054,0.001995143247768283,8,41
IntegratedGradients,ST,V3,8,0.0017559590050950646,0.0015842722496017814,0.0019711549393832684,9,41
IntegratedGradients,ST,V4,9,0.0015314675401896238,0.001410887110978365,0.0016622849507257342,12,41
IntegratedGradients,ST,V5,10,0.0015475773252546787,0.0014104277361184359,0.0017128833569586277,11,41
IntegratedGradients,ST,V6,11,0.0017338129691779613,0.0015815610531717539,0.0018875803798437119,10,41
IntegratedGradients,SVT,I,0,0.0016640775138512254,0.0015340079553425312,0.0018036703113466501,4,35
IntegratedGradients,SVT,II,1,0.0016304487362504005,0.0015054045943543315,0.0017656417330726981,8,35
IntegratedGradients,SVT,III,2,0.0016530819702893496,0.0015192857244983315,0.001804716419428587,5,35
IntegratedGradients,SVT,aVR,3,0.0017044154228642583,0.0015853677177801728,0.0018360961694270372,3,35
IntegratedGradients,SVT,aVL,4,0.0016309113707393408,0.0014591915532946587,0.0018233389127999544,7,35
IntegratedGradients,SVT,aVF,5,0.0017154423985630274,0.0015836776001378894,0.0018664072267711163,2,35
IntegratedGradients,SVT,V1,6,0.001761148334480822,0.001606309786438942,0.001920080161653459,1,35
IntegratedGradients,SVT,V2,7,0.0015116232680156827,0.001379290595650673,0.0016558264615014195,10,35
IntegratedGradients,SVT,V3,8,0.0015806498704478145,0.0014540855772793293,0.0017141440184786916,9,35
IntegratedGradients,SVT,V4,9,0.0014597688568755984,0.0013339014258235693,0.0015955687267705798,12,35
IntegratedGradients,SVT,V5,10,0.0015109943924471736,0.0013889665715396404,0.0016408383380621672,11,35
IntegratedGradients,SVT,V6,11,0.0016481563216075301,0.0015198809560388327,0.0017766159726306796,6,35
IntegratedGradients,CD,I,0,0.0017193570965901017,0.0015200816560536623,0.00193232751917094,9,36
IntegratedGradients,CD,II,1,0.0017364969244226813,0.0015323084080591798,0.001953439088538289,7,36
IntegratedGradients,CD,III,2,0.0017709104577079415,0.0015528888907283545,0.0019919078331440687,5,36
IntegratedGradients,CD,aVR,3,0.0017272686818614602,0.0015366384759545326,0.0019223678391426802,8,36
IntegratedGradients,CD,aVL,4,0.001831049914471805,0.0016100547509267926,0.002063521184027195,3,36
IntegratedGradients,CD,aVF,5,0.0019168677972629666,0.0016628509620204568,0.00217690272256732,2,36
IntegratedGradients,CD,V1,6,0.002057189354673028,0.0018279647920280695,0.002335293684154749,1,36
IntegratedGradients,CD,V2,7,0.0017170511418953538,0.0015391609631478786,0.001911049708724022,10,36
IntegratedGradients,CD,V3,8,0.0018111113458871841,0.0016256446251645684,0.0019980845972895622,4,36
IntegratedGradients,CD,V4,9,0.0015673665329813957,0.0013802637113258243,0.0017785568488761783,12,36
IntegratedGradients,CD,V5,10,0.0015773155028000474,0.0013967192498967052,0.0017796918982639909,11,36
IntegratedGradients,CD,V6,11,0.0017702026525512338,0.0015757214277982712,0.0019914412405341864,6,36
IntegratedGradients,VE,I,0,0.0011751187266781926,0.0010117042111232877,0.001343620358966291,4,14
IntegratedGradients,VE,II,1,0.0011695523280650377,0.000939973455388099,0.0014142529107630253,5,14
IntegratedGradients,VE,III,2,0.0010168569860979915,0.0008385690744034946,0.001227869768626988,11,14
IntegratedGradients,VE,aVR,3,0.001216754550114274,0.0010383042972534895,0.0013894697185605764,2,14
IntegratedGradients,VE,aVL,4,0.0010475290473550558,0.0008851060993038118,0.001232833950780332,10,14
IntegratedGradients,VE,aVF,5,0.0010977874044328928,0.000897222722414881,0.0013117807684466243,9,14
IntegratedGradients,VE,V1,6,0.0012616084422916174,0.0010811879765242338,0.0014773196307942271,1,14
IntegratedGradients,VE,V2,7,0.0010056184837594628,0.0008711325353942811,0.0011523469584062696,12,14
IntegratedGradients,VE,V3,8,0.001175702316686511,0.0009981136536225677,0.001353673986159265,3,14
IntegratedGradients,VE,V4,9,0.0011627190979197621,0.0009429662022739649,0.0013811220414936543,6,14
IntegratedGradients,VE,V5,10,0.0011534998193383217,0.0009077927679754794,0.0013848923845216632,7,14
IntegratedGradients,VE,V6,11,0.0011430076556280255,0.0009485636837780476,0.00133424939122051,8,14
